"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CTFF299M","conferencePaper","2019","Correll, Michael","Ethical dimensions of visualization research","Proceedings of the 2019 CHI conference on human factors in computing systems","978-1-4503-5970-2","","10.1145/3290605.3300418","https://doi.org/10.1145/3290605.3300418","Visualizations have a potentially enormous influence on how data are used to make decisions across all areas of human endeavor. However, it is not clear how this power connects to ethical duties: what obligations do we have when it comes to visualizations and visual analytics systems, beyond our duties as scientists and engineers? Drawing on historical and contemporary examples, I address the moral components of the design and use of visualizations, identify some ongoing areas of visualization research with ethical dilemmas, and propose a set of additional moral obligations that we have as designers, builders, and researchers of visualizations.","2019","2024-07-07 16:25:36","2024-07-07 16:25:36","","1–13","","","","","","","Chi '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3290605.3300418 Number of pages: 13 Place: Glasgow, Scotland Uk","","","","ethics; information visualization; visual analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49D3GL4N","journalArticle","2017","Gotz, David; Sun, Shun; Cao, Nan; Kundu, Rita; Meyer, Anne-Marie","Adaptive contextualization methods for combating selection bias during high-dimensional visualization","ACM Transactions on Interactive Intelligent Systems","","2160-6455","10.1145/3009973","https://doi.org/10.1145/3009973","Large and high-dimensional real-world datasets are being gathered across a wide range of application disciplines to enable data-driven decision making. Interactive data visualization can play a critical role in allowing domain experts to select and analyze data from these large collections. However, there is a critical mismatch between the very large number of dimensions in complex real-world datasets and the much smaller number of dimensions that can be concurrently visualized using modern techniques. This gap in dimensionality can result in high levels of selection bias that go unnoticed by users. The bias can in turn threaten the very validity of any subsequent insights. This article describes Adaptive Contextualization (AC), a novel approach to interactive visual data selection that is specifically designed to combat the invisible introduction of selection bias. The AC approach (1) monitors and models a user’s visual data selection activity, (2) computes metrics over that model to quantify the amount of selection bias after each step, (3) visualizes the metric results, and (4) provides interactive tools that help users assess and avoid bias-related problems. This article expands on an earlier article presented at ACM IUI 2016 [16] by providing a more detailed review of the AC methodology and additional evaluation results.","2017-11","2024-07-07 16:25:36","2024-07-07 16:25:36","","","","4","7","","ACM Trans. Interact. Intell. Syst.","","","","","","","","","","","","","","","Citation Key: 10.1145/3009973 Number of pages: 23 Place: New York, NY, USA Publisher: Association for Computing Machinery tex.articleno: 17 tex.issue_date: December 2017","","","","exploratory analysis; intelligent visual interfaces; selection bias; visual analytics; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDZJY5GL","conferencePaper","2008","Suh, Bongwon; Chi, Ed H.; Kittur, Aniket; Pendleton, Bryan A.","Lifting the veil: improving accountability and social transparency in Wikipedia with wikidashboard","Proceedings of the SIGCHI conference on human factors in computing systems","978-1-60558-011-1","","10.1145/1357054.1357214","https://doi.org/10.1145/1357054.1357214","Wikis are collaborative systems in which virtually anyone can edit anything. Although wikis have become highly popular in many domains, their mutable nature often leads them to be distrusted as a reliable source of information. Here we describe a social dynamic analysis tool called WikiDashboard which aims to improve social transparency and accountability on Wikipedia articles. Early reactions from users suggest that the increased transparency afforded by the tool can improve the interpretation, communication, and trustworthiness of Wikipedia articles.","2008","2024-07-07 16:25:36","2024-07-07 16:25:36","","1037–1040","","","","","","","Chi '08","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/1357054.1357214 Number of pages: 4 Place: Florence, Italy","","","","accountability; collaboration; social transparency; trust; visualization; wiki; wikidashboard; wikipedia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DHI9ZIU","conferencePaper","2022","Kuflik, Tsvi; Dodge, Jonathan; Kleanthous Loizou, Styliani; Lim, Brian; Negreanu, Carina; Shulner-Tal, Avital; Stumpf, Simone","TExSS 22: Transparency and explanations in smart systems","Companion proceedings of the 27th international conference on intelligent user interfaces","978-1-4503-9145-0","","10.1145/3490100.3511165","https://doi.org/10.1145/3490100.3511165","Smart systems, such as decision support or recommender systems, continue to prove challenging for people to understand, but are nonetheless ever more pervasive based on the promise of harnessing rich data sources that are becoming available in every domain. These systems tend to be opaque, raising important concerns about how to discover and account for fairness or bias issues. The workshop on Transparency and Explanations in Smart Systems (TExSS) welcomes researchers and practitioners interested in exchanging ideas for overcoming the design, development, and evaluation issues in intelligent user interfaces. Specifically, we will focus on barriers preventing better reliability, trainability, usability, trustworthiness, fairness, accountability, and transparency. This year's theme is “Responsible, Explainable AI for Inclusivity and Trust”, emphasizing the importance of responsibility that tech-industry and developers have towards the design, implementation and evaluation of explainable, inclusive and trustworthy human-AI interaction.","2022","2024-07-07 16:25:36","2024-07-07 16:25:36","","16–17","","","","","","","IUI '22 companion","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3490100.3511165 Number of pages: 2 Place: Helsinki, Finland","","","","accountability; explanations; fairness; intelligent systems; intelligibility; machine learning; transparency; visualizations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8GM5NHY","conferencePaper","2021","Smith-Renner, Alison Marie; Loizou, Styliani Kleanthous; Dodge, Jonathan; Dugan, Casey; Lee, Min Kyung; Lim, Brian Y; Kuflik, Tsvi; Sarkar, Advait; Shulner-Tal, Avital; Stumpf, Simone","TExSS: Transparency and explanations in smart systems","Companion proceedings of the 26th international conference on intelligent user interfaces","978-1-4503-8018-8","","10.1145/3397482.3450705","https://doi.org/10.1145/3397482.3450705","Smart systems that apply complex reasoning to make decisions and plan behavior, such as decision support systems and personalized recommendations, are difficult for users to understand. Algorithms allow the exploitation of rich and varied data sources, in order to support human decision-making and/or taking direct actions; however, there are increasing concerns surrounding their transparency and accountability, as these processes are typically opaque to the user. Transparency and accountability have attracted increasing interest to provide more effective system training, better reliability and improved usability. This workshop provides a venue for exploring issues that arise in designing, developing and evaluating intelligent user interfaces that provide system transparency or explanations of their behavior. In addition, we focus on approaches to mitigate algorithmic biases that can be applied by researchers, even without access to a given system’s inter-workings, such as awareness, data provenance, and validation.","2021","2024-07-07 16:25:36","2024-07-07 16:25:36","","24–25","","","","","","","IUI '21 companion","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3397482.3450705 Number of pages: 2 Place: College Station, TX, USA","","","","accountability; explanations; fairness; intelligent systems; intelligibility; machine learning; transparency; visualizations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LTE4R6Y","conferencePaper","2020","Smith-Renner, Alison; Kleanthous, Styliani; Lim, Brian; Kuflik, Tsvi; Stumpf, Simone; Otterbacher, Jahna; Sarkar, Advait; Dugan, Casey; Shulner, Avital","ExSS-ATEC: Explainable smart systems for algorithmic transparency in emerging technologies 2020","Companion proceedings of the 25th international conference on intelligent user interfaces","978-1-4503-7513-9","","10.1145/3379336.3379361","https://doi.org/10.1145/3379336.3379361","Smart systems that apply complex reasoning to make decisions and plan behavior, such as decision support systems and personalized recommendations, are difficult for users to understand. Algorithms allow the exploitation of rich and varied data sources, in order to support human decision-making and/or taking direct actions; however, there are increasing concerns surrounding their transparency and accountability, as these processes are typically opaque to the user. Transparency and accountability have attracted increasing interest to provide more effective system training, better reliability and improved usability. This workshop will provide a venue for exploring issues that arise in designing, developing and evaluating intelligent user interfaces that provide system transparency or explanations of their behavior. In addition, our goal is to focus on approaches to mitigate algorithmic biases that can be applied by researchers, even without access to a given system's inter-workings, such as awareness, data provenance, and validation.","2020","2024-07-07 16:25:36","2024-07-07 16:25:36","","7–8","","","","","","","IUI '20 companion","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3379336.3379361 Number of pages: 2 Place: Cagliari, Italy","","","","accountability; Explanations; fairness; intelligent systems; intelligibility; machine learning; transparency; visualizations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHVFWX4X","conferencePaper","2017","Park, Sora; Gil-Garcia, J. Ramon","Understanding transparency and accountability in open government ecosystems: The case of health data visualizations in a state government","Proceedings of the 18th annual international conference on digital government research","978-1-4503-5317-5","","10.1145/3085228.3085318","https://doi.org/10.1145/3085228.3085318","Many researchers of open government data raised the question as to whether transparency also promotes accountability. Concerning the unclear relationship between transparency and accountability, this case study first develops the conception of accountability in the context of open government and finds that accountability relates to the organizational need for an assessment of policy goals. This paper then examines the process in which a state health agency implements data visualization tools in an attempt to enhance the outcome of its open data policy goals. Drawing on the results from semi-structured interviews with a diverse set of internal users at the state agency, this case study provides some evidence as to how the gap between transparency and accountability can be closed at the organizational level. It also finds that data intermediaries can help government agencies overcome their resource constraints by critically assessing data usability while providing the technological expertise to align their open data policy goals with user expectations. Future research is necessary to examine the role of data intermediaries in wider open data ecosystems including multiple external stakeholders.","2017","2024-07-07 16:25:36","2024-07-07 16:25:36","","39–47","","","","","","","dg.o '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3085228.3085318 Number of pages: 9 Place: Staten Island, NY, USA","","","","Accountability; Data Intermediaries; Health Data; Open Data; Open Data Ecosystem; Transparency; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LL7D82LK","conferencePaper","2014","González, Juan Carlos; Garcia, Jaime; Cortés, Federico; Carpy, David","Government 2.0: a conceptual framework and a case study using Mexican data for assessing the evolution towards open governments","Proceedings of the 15th annual international conference on digital government research","978-1-4503-2901-9","","10.1145/2612733.2612742","https://doi.org/10.1145/2612733.2612742","In this paper, we propose a theoretical framework to analyze open government data, constituted by a supply and demand mechanism. Besides, we discuss the implementation of several digital government initiatives around the world, including relevant Mexican cases. And finally, we develop an example of data visualization for the Mexican federal budget, specifically the investment portfolio. The objective is to prove that data can be transformed to make it understandable to the regular user who lacks technical and technological skills, and therefore an efficient tool for citizens and policy makers.","2014","2024-07-07 16:25:36","2024-07-07 16:25:36","","124–136","","","","","","","dg.o '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/2612733.2612742 Number of pages: 13 Place: Aguascalientes, Mexico","","","","accountability; budget; e-Government; information access; open data; open government; transparency; visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EEPNJFS","conferencePaper","2021","Rathore, Archit; Dev, Sunipa; Phillips, Jeff M.; Srikumar, Vivek; Wang, Bei","A visual tour of bias mitigation techniques for word representations","Proceedings of the 27th ACM SIGKDD conference on knowledge discovery &amp; data mining","978-1-4503-8332-5","","10.1145/3447548.3470807","https://doi.org/10.1145/3447548.3470807","Word vector embeddings have been shown to contain and amplify biases in data they are extracted from. Consequently, many techniques have been proposed to identify, mitigate, and attenuate these biases in word representations. In this tutorial, we will review a collection of state-of-the-art debiasing techniques. To aid this, we provide an open source web-based visualization tool and offer hands-on experience in exploring the effects of these debiasing techniques on the geometry of high-dimensional word vectors. To help understand how various debiasing techniques change the underlying geometry, we decompose each technique into interpretable sequences of primitive operations, and study their effect on the word vectors using dimensionality reduction and interactive visual exploration.","2021","2024-07-07 16:25:36","2024-07-07 16:25:36","","4064–4065","","","","","","","Kdd '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3447548.3470807 Number of pages: 2 Place: Virtual Event, Singapore","","","","bias; fair nlp; fairness; responsible ai; visualization; visualizing bias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTLQZSQA","conferencePaper","2021","van Berkel, Niels; Goncalves, Jorge; Russo, Daniel; Hosio, Simo; Skov, Mikael B.","Effect of information presentation on fairness perceptions of machine learning predictors","Proceedings of the 2021 CHI conference on human factors in computing systems","978-1-4503-8096-6","","10.1145/3411764.3445365","https://doi.org/10.1145/3411764.3445365","The uptake of artificial intelligence-based applications raises concerns about the fairness and transparency of AI behaviour. Consequently, the Computer Science community calls for the involvement of the general public in the design and evaluation of AI systems. Assessing the fairness of individual predictors is an essential step in the development of equitable algorithms. In this study, we evaluate the effect of two common visualisation techniques (text-based and scatterplot) and the display of the outcome information (i.e., ground-truth) on the perceived fairness of predictors. Our results from an online crowdsourcing study (N = 80) show that the chosen visualisation technique significantly alters people’s fairness perception and that the presented scenario, as well as the participant’s gender and past education, influence perceived fairness. Based on these results we draw recommendations for future work that seeks to involve non-experts in AI fairness evaluations.","2021","2024-07-07 16:25:36","2024-07-07 16:25:36","","","","","","","","","Chi '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3411764.3445365 Number of pages: 13 Place: Yokohama, Japan tex.articleno: 245","","","","AI; Artificial intelligence; crowdsourcing; fairness; layperson; machine learning; ML.; predictor selection; transparency; visualisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
