"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Dynamic Hierarchical Aggregation, Selection Bias Tracking, and Detailed Subset Comparison for High-Dimensional Event Sequence Data","J. Zhang; D. Borland; W. Wang; J. Shrestha; D. Gotz",UNC-Chapel Hill; UNC-Chapel Hill; UNC-Chapel Hill; UNC-Chapel Hill; UNC-Chapel Hill,2019 IEEE Workshop on Visual Analytics in Healthcare (VAHC),"30 Dec 2019","2019","","","56","57","With the increase in collection of temporal event data, especially electronic health record (EHR) data, numerous different visualization and analysis techniques have been developed to assist with the interpretation of such data. As datasets grow increasingly large in both number of event sequences and number of event types, two problems arise: how to group event types, and how to describe selection bias that can occur when selecting cohorts. This poster summarizes two papers, conditionally accepted to VAST, that introduce a dynamic and interactive algorithm for hierarchical event grouping, a scented scatter-plus-focus visualization that supports hierarchical exploration, a tree-based cohort provenance visualization, and a set of visualizations that provide per-dimension selection bias information for pairs of cohorts [2, 4]. These methods are integrated into the web-based interactive medical analysis tool Cadence.","","978-1-7281-2423-0","10.1109/VAHC47919.2019.8945029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945029","Temporal event sequence visualization;visual analytics;hierarchical aggregation;medical informatics;high-dimensional visualization;cohort selection;selection bias","Data visualization;Pain;Obesity;Tools;Visualization;Correlation;Sleep apnea","","1","","7","IEEE","30 Dec 2019","","","IEEE","IEEE Conferences"
"Ethics of the Algorithm: Digital Humanities and Holocaust Memory","T. Presner; A. Bonazzi; R. Deblinger; L. Fan; M. Lee; K. Rosen; C. Yamane",NA; NA; NA; NA; NA; NA; NA,Ethics of the Algorithm: Digital Humanities and Holocaust Memory,"","2024","","","","","How computational methods can expand how we see, read, and listen to Holocaust testimonyThe Holocaust is one of the most documented—and now digitized—events in human history. Institutions and archives hold hundreds of thousands of hours of audio and video testimony, composed of more than a billion words in dozens of languages, with millions of pieces of descriptive metadata. It would take several lifetimes to engage with these testimonies one at a time. Computational methods could be used to analyze an entire archive—but what are the ethical implications of “listening” to Holocaust testimonies by means of an algorithm? In this book, Todd Presner explores how the digital humanities can provide both new insights and humanizing perspectives for Holocaust memory and history.Presner suggests that it is possible to develop an “ethics of the algorithm” that mediates between the ethical demands of listening to individual testimonies and the interpretative possibilities of computational methods. He delves into thousands of testimonies and witness accounts, focusing on the analysis of trauma, language, voice, genre, and the archive itself. Tracing the affordances of digital tools that range from early, proto-computational approaches to more recent uses of automatic speech recognition and natural language processing, Presner introduces readers to what may be the ultimate expression of these methods: AI-driven testimonies that use machine learning to process responses to questions, offering a user experience that seems to replicate an actual conversation with a Holocaust survivor.With Ethics of the Algorithm, Presner presents a digital humanities argument for how big data models and computational methods can be used to preserve and perpetuate cultural memory.","","9780691258980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10614711.pdf&bkn=10614710&pdfType=book","AI;algorithmic fabulation;archive;big data;cultural analytics;datafication;digital culture;digital media;digital technologies;ethical computation;Ethics of the Algorithm: Digital Humanities and Holocaust Memory;humanistic data science;natural language processing;survivor;Testimony;Todd Presner;virtual;witness;Data;Survivors;Narrative;Algorithm;Holocaust;Jewish;Human;Triplets;USC Shoah foundation;Mala;Jews;Visualization;Digital;Ethical;Semantic;Algorithmic;Memory;Ethics;Nazi;Database;Kimmelmann;Auschwitz;Corpus;War;Death;Trauma;Dimensions in Testimony (DiT);Network;Semantic triplets;History;Holocaust testimony;Judgment;Distant;Technologies;Cultural;Segments;Processes;Violence;Victims;Child;Population;Dutch;Fortunoff;Bomba;Ghetto;Silence;Media;Machine learning;Clusters;Police;Labor;Technology","","","","","","","30 Jul 2024","","","Princeton University Press","Princeton University Press eBooks"
"Fairkit-learn: A Fairness Evaluation and Comparison Toolkit","B. Johnson; Y. Brun","George Mason University, Fairfax, VA, USA; University of Massachusetts Amherst, Amherst, MA, USA",2022 IEEE/ACM 44th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"13 Jun 2022","2022","","","70","74","Advances in how we build and use software, specifically the integration of machine learning for decision making, have led to widespread concern around model and software fairness. We present fairkit-learn, an interactive Python toolkit designed to support data scientists’ ability to reason about and understand model fairness. We outline how fairkit-learn can support model training, evaluation, and comparison and describe the potential benefit that comes with using fairkit-learn in comparison to the state-of-the-art. Fairkit-learn is open source at https://go.gmu.edu/fairkit-learn/.","2574-1926","978-1-6654-9598-1","10.1145/3510454.3516830","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793775","Software fairness;bias-free software design;visualization","Training;Software testing;Decision making;Machine learning;Debugging;Software;Data models","","2","","39","","13 Jun 2022","","","IEEE","IEEE Conferences"
"Improving Transparent Visualization of Large-Scale Laser-Scanned Point Clouds by Using Poisson Disk Sampling","S. Yanai; R. Umegaki; K. Hasegawa; L. Li; H. Yamagushi; S. Tanaka","Graduate School of Information Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan; Graduate School of Information Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan; College of Information Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan; College of information Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan; Nara Nat. Res. Inst. for Cultural Properties, Nara, Japan; College of Information Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan",2017 International Conference on Culture and Computing (Culture and Computing),"21 Dec 2017","2017","","","13","19","In recent years, due to the development of laser-measurement technology, 3D laser-scanned point clouds for cultural assets are often used as the recording format of digital archiving. The acquired point clouds are large-scale and precisely record complex 3D internal structures of the scanned objects. Visualization quality of such point clouds highly depends on density distributional uniformity, that is, the uniformity of the inter-point distances. The visualization quality can be improved by making point distances uniform. In addition, the visibility further improves by emphasizing edges. In this study, first the uniformity and flexible tuning of the point density based on Poisson disk sampling are examined. The resultant high-quality point clouds are then applied to transparent visualization. Moreover, edge emphasis visualization is realized by combining the principal component analysis calculating feature amount and Poisson disk sampling.","","978-1-5386-1135-7","10.1109/Culture.and.Computing.2017.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8227334","laser-scanned point cloud;transparent visualization;feature-highlighting visualization;principal component analysis;curvature;poisson disk sampling","Three-dimensional displays;Cultural differences;Data visualization;Principal component analysis;Electronic mail;Current measurement;Information science","","3","","17","IEEE","21 Dec 2017","","","IEEE","IEEE Conferences"
"TASSY—A Text Annotation Survey System","T. Spinde; K. Sinha; N. Meuschke; B. Gipp","University of Konstanz, Konstanz, Germany; University of Passau, Passau, Germany; University of Wuppertal, Wuppertal, Germany; University of Wuppertal, Wuppertal, Germany",2021 ACM/IEEE Joint Conference on Digital Libraries (JCDL),"29 Dec 2021","2021","","","322","323","We present a free and open-source tool for creating web-based surveys that include text annotation tasks. Existing tools offer either text annotation or survey functionality but not both. Combining the two input types is particularly relevant for investigating a reader's perception of a text which also depends on the reader's background, such as age, gender, and education. Our tool caters primarily to the needs of researchers in the Library and Information Sciences, the Social Sciences, and the Humanities who apply Content Analysis to investigate, e.g., media bias, political communication, or fake news.","","978-1-6654-1770-9","10.1109/JCDL52503.2021.00052","German Academic Exchange Service (DAAD); Hanns-Seidel-Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9651848","News bias;bias visualization;perception of news","Visualization;Annotations;Social sciences;Education;Libraries;Task analysis;Fake news","","7","","5","IEEE","29 Dec 2021","","","IEEE","IEEE Conferences"
"Smart Transparency for Illustrative Visualization of Complex Flow Surfaces","R. Carnecky; R. Fuchs; S. Mehl; Y. Jang; R. Peikert","Computer Science Department, ETH Zurich, Zurich, Switzerland; Computer Science Department, ETH Zurich, Zurich, Switzerland; Faculty of Medicine, Phillips-University of Marburg, Marburg, Germany; Department of Computer Engineering, Sejong University, Seoul, South Korea; Computer Science Department, ETH Zurich, Zurich, Switzerland",IEEE Transactions on Visualization and Computer Graphics,"19 Mar 2013","2013","19","5","838","851","The perception of transparency and the underlying neural mechanisms have been subject to extensive research in the cognitive sciences. However, we have yet to develop visualization techniques that optimally convey the inner structure of complex transparent shapes. In this paper, we apply the findings of perception research to develop a novel illustrative rendering method that enhances surface transparency nonlocally. Rendering of transparent geometry is computationally expensive since many optimizations, such as visibility culling, are not applicable and fragments have to be sorted by depth for correct blending. In order to overcome these difficulties efficiently, we propose the illustration buffer. This novel data structure combines the ideas of the A and G-buffers to store a list of all surface layers for each pixel. A set of local and nonlocal operators is then used to process these depth-lists to generate the final image. Our technique is interactive on current graphics hardware and is only limited by the available graphics memory. Based on this framework, we present an efficient algorithm for a nonlocal transparency enhancement that creates expressive renderings of transparent surfaces. A controlled quantitative double blind user study shows that the presented approach improves the understanding of complex transparent surfaces significantly.","1941-0506","","10.1109/TVCG.2012.159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6244795","Illustrative rendering;transparency;flow visualization;integral surface;user study;diffusion;a-buffer;illustration buffer;perception","Rendering (computer graphics);Buffer storage;Image color analysis;Surface treatment;Indexes;Graphics processing unit","Algorithms;Computer Graphics;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Reproducibility of Results;Rheology;Sensitivity and Specificity;User-Computer Interface","21","","41","IEEE","19 Jul 2012","","","IEEE","IEEE Journals"
"Toward Open Government in Paraguay","L. Cernuzzi; J. Pane","Universidad Católica Nuestra Señora de la Asunción, Paraguay; Centro de Estudios Ambientales y Sociales (CEAMSO), Paraguay",IT Professional,"24 Sep 2014","2014","16","5","62","64","The authors outline Paraguay's journey toward open government and the technical and organizational challenges it faces in promoting transparency and providing open data.","1941-045X","","10.1109/MITP.2014.71","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6908953","o-government;open government;e-government;transparency;open data;Internet/Web technologies;project management;visualization","Government policies;Standards;Electronic government;Law;South America;Internet;Project management;Open systems","","10","","6","IEEE","24 Sep 2014","","","IEEE","IEEE Magazines"
"Grad-LAM: Visualization of Deep Neural Networks for Unsupervised Learning","A. Bartler; D. Hinderer; B. Yang","Institute of Signal Processing and System Theory, University of Stuttgart, Stuttgart, Germany; Institute of Signal Processing and System Theory, University of Stuttgart, Stuttgart, Germany; Institute of Signal Processing and System Theory, University of Stuttgart, Stuttgart, Germany",2020 28th European Signal Processing Conference (EUSIPCO),"18 Dec 2020","2021","","","1407","1411","Nowadays, the explainability of deep neural networks is an essential part of machine learning. In the last years, many methods were developed to visualize important regions of an input image for the decision of the deep neural network. Since almost all methods are designed for supervised trained models, we propose in this work a visualization technique for unsupervised trained autoencoders called Gradient-weighted Latent Activation Mapping (Grad-LAM). We adapt the idea of Grad-CAM and propose a novel weighting based on the knowledge of the autoencoder's decoder. Our method will help to get insights into the highly nonlinear mapping of an input image to a latent space. We show that the visualization maps of Grad-LAM are meaningful on simple datasets like MNIST and the method is even applicable to real-world datasets like ImageNet.","2076-1465","978-9-0827-9705-3","10.23919/Eusipco47968.2020.9287730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9287730","deep visualization;transparency;unsupervised learning;explainable artificial intelligence;Grad-LAM","Visualization;Neural networks;Europe;Machine learning;Signal processing;Decoding;Unsupervised learning","","6","","18","","18 Dec 2020","","","IEEE","IEEE Conferences"
"Augmented Reality for Construction Control","K. Kirchbach; C. Runde","Institute for Technology and Management in Construction (TMB), Karlsruhe Institute of Technology, Karlsruhe, Germany; Competence Center for Virtual Reality, Virtual Dimension Center (VDC), Fellbach, Germany",2012 16th International Conference on Information Visualisation,"6 Sep 2012","2012","","","440","444","The development of a physical building control center has got the purpose of supporting the management and control of a project to optimize the flow of the complex processes at a construction site. The concept consists of equipping vehicles with sensors, using virtual reality and augmented reality-techniques to visualize these realtime information and allow an optical adaption to current circumstances. A more efficient utilization and enhanced cost effectiveness will be the result. Based on a previous performed requirement analysis a software architecture (AR4CC, ""Augmented Reality for Construction Control"") has been developed, which allows the use of virtual reality (vr) and augmented reality (ar) at a construction site. The basic idea of information transparency and the generated software is introduced. Two test-phases were performed and will be presented, one of them in a computer on a virtual construction site and the other one on a construction site mock-up, which was built especially for this purpose.","2375-0138","978-1-4673-2260-7","10.1109/IV.2012.76","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295851","virtual reality;augmented reality;control center;information transparency;process optimization;construction site;information visualization","Buildings;Vehicles;Augmented reality;Cameras;Argon;Planning","","3","","15","IEEE","6 Sep 2012","","","IEEE","IEEE Conferences"
"Diagnosis of articular cartilage using 3-D visualization and correlation with patient data","D. K. Gaddipati; T. L. Stewart; G. S. Zwicky","Department of Electrical and Computer Engineering, Bradley University, Peoria, IL, USA; Department of Electrical and Computer Engineering, Bradley University, Peoria, IL, USA; Department of Radiology, OSF Saint Francis Medical Center, Peoria, IL, USA",The 26th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"14 Mar 2005","2004","1","","1821","1824","Arthritis is a generic condition indicating inflammation of a joint. The most common form of arthritis is osteoarthritis. In this condition, the articular cartilage, the smooth gliding surface of the joint, is worn away. Image processing algorithms and advanced graphics techniques have been combined to detect wear in the articular cartilage. The cartilage was separated from the MRI data and image segmentation and thresholding algorithms have isolated the area of wear. A binary gradient masking technique was used to draw contours around the abnormality. A virtual three-dimensional model was developed showing different views, including a transparent view that enables one to see lesion inside the cartilage.","","0-7803-8439-3","10.1109/IEMBS.2004.1403543","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1403543","Articular;cartilage;imaging;lesion;MRI;transparency;visualization","Data visualization;Magnetic resonance imaging;Image segmentation;Osteoarthritis;Image edge detection;Joints;Lesions;Positron emission tomography;Radiology;Biomedical imaging","","2","","5","IEEE","14 Mar 2005","","","IEEE","IEEE Conferences"
