"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Naseem U.; Khushi M.; Kim J.","Naseem, Usman (57212385431); Khushi, Matloob (36969331400); Kim, Jinman (55720292700)","57212385431; 36969331400; 55720292700","Vision-Language Transformer for Interpretable Pathology Visual Question Answering","2023","IEEE Journal of Biomedical and Health Informatics","27","4","","1681","1690","9","17","10.1109/JBHI.2022.3163751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127535492&doi=10.1109%2fJBHI.2022.3163751&partnerID=40&md5=0c5c3ea1fe2183d3af7d455e82f14089","Pathology visual question answering (PathVQA) attempts to answer a medical question posed by pathology images. Despite its great potential in healthcare, it is not widely adopted because it requires interactions on both the image (vision) and question (language) to generate an answer. Existing methods focused on treating vision and language features independently, which were unable to capture the high and low-level interactions that are required for VQA. Further, these methods failed to offer capabilities to interpret the retrieved answers, which are obscure to humans where the models' interpretability to justify the retrieved answers has remained largely unexplored. Motivated by these limitations, we introduce a vision-language transformer that embeds vision (images) and language (questions) features for an interpretable PathVQA. We present an interpretable transformer-based Path-VQA (TraP-VQA), where we embed transformers' encoder layers with vision and language features extracted using pre-trained CNN and domain-specific language model (LM), respectively. A decoder layer is then embedded to upsample the encoded features for the final prediction for PathVQA. Our experiments showed that our TraP-VQA outperformed the state-of-the-art comparative methods with public PathVQA dataset. Our experiments validated the robustness of our model on another medical VQA dataset, and the ablation study demonstrated the capability of our integrated transformer-based vision-language model for PathVQA. Finally, we present the visualization results of both text and images, which explain the reason for a retrieved answer in PathVQA.  © 2013 IEEE.","interpretability; Pathology images; vision-language; visual question answering","Electric Power Supplies; Humans; Language; Decoding; Flow visualization; Graphical user interfaces; Problem oriented languages; Visual languages; Decoding; Features extraction; Interpretability; Pathology image; Predictive models; Question Answering; Task analysis; Transformer; Vision-language; Visual question answering; article; feature extraction; human; human experiment; language; prediction; predictive model; trust; vision; power supply; Pathology","Institute of Electrical and Electronics Engineers Inc.","","","","","","21682194","","ITIBF","Article","Final","","Scopus","2-s2.0-85127535492"
"Zhao J.; Wang Y.; Mancenido M.V.; Chiou E.K.; Maciejewski R.","Zhao, Jieqiong (56410160500); Wang, Yixuan (57767482100); Mancenido, Michelle V. (47962083700); Chiou, Erin K. (55552000100); Maciejewski, Ross (23987550600)","56410160500; 57767482100; 47962083700; 55552000100; 23987550600","Evaluating the Impact of Uncertainty Visualization on Model Reliance","2024","IEEE Transactions on Visualization and Computer Graphics","30","7","","4093","4107","14","2","10.1109/TVCG.2023.3251950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149447813&doi=10.1109%2fTVCG.2023.3251950&partnerID=40&md5=b4d30168fbd9c06f4097f54212ed818f","—Machine learning models have gained traction as decision support tools for tasks that require processing copious amounts of data. However, to achieve the primary benefits of automating this part of decision-making, people must be able to trust the machine learning model’s outputs. In order to enhance people’s trust and promote appropriate reliance on the model, visualization techniques such as interactive model steering, performance analysis, model comparison, and uncertainty visualization have been proposed. In this study, we tested the effects of two uncertainty visualization techniques in a college admissions forecasting task, under two task difficulty levels, using Amazon’s Mechanical Turk platform. Results show that (1) people’s reliance on the model depends on the task difficulty and level of machine uncertainty and (2) ordinal forms of expressing model uncertainty are more likely to calibrate model usage behavior. These outcomes emphasize that reliance on decision support tools can depend on the cognitive accessibility of the visualization technique and perceptions of model performance and task difficulty. © 2024 IEEE Computer Society. All rights reserved.","Human-machine collaborations; model reliance; trust; uncertainty","Behavioral research; Decision making; Decision support systems; Job analysis; Machine learning; Uncertainty analysis; Visualization; Computational modelling; Human-machine collaboration; Model reliance; Prediction algorithms; Predictive models; Task analysis; Trust; Uncertainty; Uncertainty visualization; article; cognition; decision support system; forecasting; human; machine learning; perception; uncertainty; Data visualization","IEEE Computer Society","","","","","","10772626","","ITVGE","Article","Final","","Scopus","2-s2.0-85149447813"
"Rao S.; Bohle M.; Schiele B.","Rao, Sukrut (57203844513); Bohle, Moritz (57210414389); Schiele, Bernt (55267534700)","57203844513; 57210414389; 55267534700","Better Understanding Differences in Attribution Methods via Systematic Evaluations","2024","IEEE Transactions on Pattern Analysis and Machine Intelligence","46","6","","4090","4101","11","0","10.1109/TPAMI.2024.3353528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182949154&doi=10.1109%2fTPAMI.2024.3353528&partnerID=40&md5=a628b0cf1ec27b0c57c5a0eed8ef9fee","Deep neural networks are very successful on many vision tasks, but hard to interpret due to their black box nature. To overcome this, various post-hoc attribution methods have been proposed to identify image regions most influential to the models' decisions. Evaluating such methods is challenging since no ground truth attributions exist. We thus propose three novel evaluation schemes to more reliably measure the faithfulness of those methods, to make comparisons between them more fair, and to make visual inspection more systematic. To address faithfulness, we propose a novel evaluation setting (DiFull) in which we carefully control which parts of the input can influence the output in order to distinguish possible from impossible attributions. To address fairness, we note that different methods are applied at different layers, which skews any comparison, and so evaluate all methods on the same layers (ML-Att) and discuss how this impacts their performance on quantitative metrics. For more systematic visualizations, we propose a scheme (AggAtt) to qualitatively evaluate the methods on complete datasets. We use these evaluation schemes to study strengths and shortcomings of some widely used attribution methods over a wide range of models. Finally, we propose a post-processing smoothing step that significantly improves the performance of some attribution methods, and discuss its applicability.  © 1979-2012 IEEE.","Attribution evaluation; attribution methods; explainability; model faithfulness","Deep neural networks; Visualization; Attribution evaluation; Attribution method; Evaluation scheme; Explainability; Head; Informatics; Location awareness; Model faithfulness; Performance; Systematic; article; benchmarking; controlled study; deep neural network; fairness; vision; Computer vision","IEEE Computer Society","","","","","","01628828","","ITPID","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85182949154"
"Tamilselvi M.; Rajeshwari R.; Chandra Kala R.; Nagaraju N.; Sasirekha D.","Tamilselvi, M. (56878915200); Rajeshwari, R. (57956743600); Chandra Kala, R. (59223607200); Nagaraju, N. (57201736231); Sasirekha, D. (57202098235)","56878915200; 57956743600; 59223607200; 57201736231; 57202098235","Design and Development of a Novel Sensor Assisted Vehicle Count Prediction Using Modulated Deep Learning Principles","2024","Proceedings of 9th International Conference on Science, Technology, Engineering and Mathematics: The Role of Emerging Technologies in Digital Transformation, ICONSTEM 2024","","","","","","","0","10.1109/ICONSTEM60960.2024.10568881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198843036&doi=10.1109%2fICONSTEM60960.2024.10568881&partnerID=40&md5=a676f6289788292ce296c055248d7383","In the realm of traffic management and urban planning, accurate prediction of vehicle counts is crucial for optimizing transportation systems and ensuring efficient traffic flow. Traditional prediction models often rely on historical data and mathematical algorithms, which may lack the ability to adapt to dynamic real-world conditions. This paper proposes a novel approach that integrates sensor data with Explainable Artificial Intelligence (XAI) principles to enhance the accuracy and interpretability of vehicle count predictions. The proposed system utilizes a network of sensors deployed across key traffic points to collect real-time data on vehicle movements, including speed, volume, and direction. This sensor data is then fed into a machine learning model, specifically designed to predict vehicle counts based on various environmental and contextual factors. Unlike conventional black-box models, the proposed system leverages XAI techniques to provide transparent insights into the decision-making process, enabling stakeholders to understand and trust the predictions. Key components of the XAI-based prediction model include feature importance analysis, model-agnostic interpretability methods, and interactive visualization tools. By identifying the most influential features and explaining the rationale behind predictions, the system empowers transportation planners and policymakers to make informed decisions regarding traffic management strategies and infrastructure investments. By enhancing both accuracy and interpretability, the proposed system paves the way for more effective traffic management strategies and ultimately improves the overall quality of urban mobility.  © 2024 IEEE.","accuracy; Explainable Artificial Intelligence (XAI); interpretability; Sensor data integration; traffic flow optimization; transparency; urban mobility","Data integration; Decision making; Deep learning; Intelligent systems; Investments; Urban transportation; Vehicles; Visualization; Accuracy; Explainable artificial intelligence (XAI); Flow optimization; Interpretability; Prediction modelling; Sensor data integration; Traffic flow; Traffic flow optimization; Urban mobility; Vehicle counts; Forecasting","Institute of Electrical and Electronics Engineers Inc.","IEEE","9th International Conference on Science, Technology, Engineering and Mathematics, ICONSTEM 2024","4 April 2024 through 5 April 2024","Chennai","200626","","979-835036509-2","","Conference paper","Final","","Scopus","2-s2.0-85198843036"
"Guesmi M.; Chatti M.A.; Joarder S.; Ain Q.U.; Siepmann C.; Ghanbarzadeh H.; Alatrash R.","Guesmi, Mouadh (57219050986); Chatti, Mohamed Amine (13605449900); Joarder, Shoeb (57225129970); Ain, Qurat Ul (57225435382); Siepmann, Clara (58261727800); Ghanbarzadeh, Hoda (58340557400); Alatrash, Rawaa (57219914958)","57219050986; 13605449900; 57225129970; 57225435382; 58261727800; 58340557400; 57219914958","Justification vs. Transparency: Why and How Visual Explanations in a Scientific Literature Recommender System","2023","Information (Switzerland)","14","7","401","","","","3","10.3390/info14070401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166385807&doi=10.3390%2finfo14070401&partnerID=40&md5=23b6df9889992a1465c3820215b0dc48","Significant attention has been paid to enhancing recommender systems (RS) with explanation facilities to help users make informed decisions and increase trust in and satisfaction with an RS. Justification and transparency represent two crucial goals in explainable recommendations. Different from transparency, which faithfully exposes the reasoning behind the recommendation mechanism, justification conveys a conceptual model that may differ from that of the underlying algorithm. An explanation is an answer to a question. In explainable recommendation, a user would want to ask questions (referred to as intelligibility types) to understand the results given by an RS. In this paper, we identify relationships between Why and How explanation intelligibility types and the explanation goals of justification and transparency. We followed the Human-Centered Design (HCD) approach and leveraged the What–Why–How visualization framework to systematically design and implement Why and How visual explanations in the transparent Recommendation and Interest Modeling Application (RIMA). Furthermore, we conducted a qualitative user study (N = 12) based on a thematic analysis of think-aloud sessions and semi-structured interviews with students and researchers to investigate the potential effects of providing Why and How explanations together in an explainable RS on users’ perceptions regarding transparency, trust, and satisfaction. Our study shows qualitative evidence confirming that the choice of the explanation intelligibility types depends on the explanation goal and user type. © 2023 by the authors.","explainable recommendation; justification; recommender systems; transparency; trust; visualization","Transparency; Visualization; Conceptual model; Design approaches; Explainable recommendation; Human-centred designs; Informed decision; Justification; Recommendation mechanism; Scientific literature; Trust; Visualization framework; Recommender systems","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","","20782489","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166385807"
"Chatzimparmpas A.; Kucher K.; Kerren A.","Chatzimparmpas, Angelos (57205364230); Kucher, Kostiantyn (56647973300); Kerren, Andreas (6508221631)","57205364230; 56647973300; 6508221631","Visualization for Trust in Machine Learning Revisited: The State of the Field in 2023","2024","IEEE Computer Graphics and Applications","44","3","","99","113","14","1","10.1109/MCG.2024.3360881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184317816&doi=10.1109%2fMCG.2024.3360881&partnerID=40&md5=e47b501cae40d7dae641fc204411f00c","Visualization for explainable and trustworthy machine learning remains one of the most important and heavily researched fields within information visualization and visual analytics with various application domains, such as medicine, finance, and bioinformatics. After our 2020 state-of-the-art report comprising 200 techniques, we have persistently collected peer-reviewed articles describing visualization techniques, categorized them based on the previously established categorization schema consisting of 119 categories, and provided the resulting collection of 542 techniques in an online survey browser. In this survey article, we present the updated findings of new analyses of this dataset as of fall 2023 and discuss trends, insights, and eight open challenges for using visualizations in machine learning. Our results corroborate the rapidly growing trend of visualization techniques for increasing trust in machine learning models in the past three years, with visualization found to help improve popular model explainability methods and check new deep learning architectures, for instance.  © 1981-2012 IEEE.","","Data visualization; Deep learning; Information systems; Market Research; Applications domains; Browser; Conference; Information visualization; Machine-learning; Market researches; Online surveys; State of the art; Visual analytics; Visualization technique; adult; article; bioinformatics; deep learning; human; machine learning; trust; Visualization","IEEE Computer Society","","","","","","02721716","","ICGAD","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85184317816"
"Hohendanner M.; Ullstein C.; Buchmeier Y.; Grossklags J.","Hohendanner, Michel (57950035700); Ullstein, Chiara (57768796300); Buchmeier, Yosuke (57218563363); Grossklags, Jens (7801476504)","57950035700; 57768796300; 57218563363; 7801476504","Exploring the Reflective Space of AI Narratives Through Speculative Design in Japan and Germany","2023","ACM International Conference Proceeding Series","","","","351","362","11","4","10.1145/3582515.3609554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174290939&doi=10.1145%2f3582515.3609554&partnerID=40&md5=e6a9c5afac515536d3f26888cef4cde9","This research aims at exploring how culture-specific narratives influence the imagination of future AI technology. Design professionals play a crucial role in this research context as they not only take part in the development of technology applications but are also involved in shaping public narratives about socio-technical relations as agents of public imagination. We examined how designers envision future societies and how future narratives as a result of design processes are reflected upon by an external audience. In Study 1, we rolled out three speculative design workshops in Japan and Germany with young design professionals. The analysis of the resulting design representations (artifacts) reveals that the relationship between human autonomy and AI-driven automation represents a central theme in the imagination of futures. Visions created in Japan draw from (pop-)culture-specific narratives, but also from governmental agendas. In projects from Germany, corporations lead the deployment of AI systems that alter society and social interactions. In a follow-up Study 2, we analyze the perceptions of created artifacts through a survey with 174 students from computer science. We identify loss of privacy, ethical concerns, governmental control, surveillance, and loss of free speech as main themes of reflection, which is in line with themes raised by designers. Students focus on societal impacts of use and aims of depicted applications rather than on AI as technical facet. Visualizations created in Study 1 appear to have a strong influence on the audience's impression of the depicted technological applications in Study 2. Although cultural differences regarding style of visualization seem to play a decisive role for creation in Study 1, they do not seem to have a major effect on participants' reflections in Study 2. Overall, findings from both studies contribute to advancing the understanding of design speculations in creation and perception.  © 2023 Owner/Author.","AI; cross-cultural; public perception; research through design; speculative design","Design; Ethical technology; AI Technologies; Cross-cultural; Design professionals; Design workshops; Design-process; Public perception; Research through design; Sociotechnical; Speculative design; Technology application; Visualization","Association for Computing Machinery","ACM SIGCAS; Association for Computing Machinery (ACM)","3rd ACM Conference on Information Technology for Social Good, GoodIT 2023","6 September 2023 through 8 September 2023","Lisbon","192487","","979-840070116-0","","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85174290939"
"Lyu Y.; Lu H.; Lee M.K.; Schmitt G.; Lim B.Y.","Lyu, Yan (56909686400); Lu, Hangxin (57195565013); Lee, Min Kyung (35573951200); Schmitt, Gerhard (7201774797); Lim, Brian Y. (23091411300)","56909686400; 57195565013; 35573951200; 7201774797; 23091411300","IF-City: Intelligible Fair City Planning to Measure, Explain and Mitigate Inequality","2024","IEEE Transactions on Visualization and Computer Graphics","30","7","","3749","3766","17","3","10.1109/TVCG.2023.3239909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147299972&doi=10.1109%2fTVCG.2023.3239909&partnerID=40&md5=17c454f630fb4cac7ca10758b28db65f","—With the increasing pervasiveness of Artificial Intelligence (AI), many visual analytics tools have been proposed to examine fairness, but they mostly focus on data scientist users. Instead, tackling fairness must be inclusive and involve domain experts with specialized tools and workflows. Thus, domain-specific visualizations are needed for algorithmic fairness. Furthermore, while much work on AI fairness has focused on predictive decisions, less has been done for fair allocation and planning, which require human expertise and iterative design to integrate myriad constraints. We propose the Intelligible Fair Allocation (IF-Alloc) Framework that leverages explanations of causal attribution (Why), contrastive (Why Not) and counterfactual reasoning (What If, How To) to aid domain experts to assess and alleviate unfairness in allocation problems. We apply the framework to fair urban planning for designing cities that provide equal access to amenities and benefits for diverse resident types. Specifically, we propose an interactive visual tool, Intelligible Fair City Planner (IF-City), to help urban planners to perceive inequality across groups, identify and attribute sources of inequality, and mitigate inequality with automatic allocation simulations and constraint-satisfying recommendations (IF-Plan). We demonstrate and evaluate the usage and usefulness of IF-City on a real neighborhood in New York City, US, with practicing urban planners from multiple countries, and discuss generalizing our findings, application, and framework to other use cases and applications of fair allocation. © 2023 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.","explainable artificial intelligence; Fairness; intelligibility; resource allocation; urban planning","Artificial intelligence; Iterative methods; Visualization; Analytic tools; City planners; Domain experts; Explainable artificial intelligence; Fair allocation; Fairness; Intelligibility; Resources allocation; Urban planners; Visual analytics; article; artificial intelligence; causal attribution; city; city planning; fairness; human; neighborhood; New York; reasoning; resident; simulation; Urban planning","IEEE Computer Society","","","","","","10772626","","ITVGE","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85147299972"
"Samadi A.; Koufos K.; Debattista K.; Dianati M.","Samadi, Amir (58416448500); Koufos, Konstantinos (24331997000); Debattista, Kurt (10240295400); Dianati, Mehrdad (8930535800)","58416448500; 24331997000; 10240295400; 8930535800","SAFE-RL: Saliency-Aware Counterfactual Explainer for Deep Reinforcement Learning Policies","2024","IEEE Robotics and Automation Letters","","","","1","8","7","0","10.1109/LRA.2024.3414270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196078376&doi=10.1109%2fLRA.2024.3414270&partnerID=40&md5=44fd377ed866273bac9c0bdf6e4c7204","While Deep Reinforcement Learning (DRL) has emerged as a promising solution for intricate control tasks, the lack of explainability of the learned policies impedes its uptake in safety-critical applications, such as automated driving systems (ADS). Counterfactual (CF) explanations have recently gained prominence for their ability to interpret black-box Deep Learning (DL) models. CF examples are associated with minimal changes in the input, resulting in a complementary output by the DL model. Finding such alternations, particularly for high-dimensional visual inputs, poses significant challenges. Besides, the temporal dependency introduced by the reliance of the DRL agent action on a history of past state observations further complicates the generation of CF examples. To address these challenges, we propose using a saliency map to identify the most influential input pixels across the sequence of past observed states by the agent. Then, we feed this map to a deep generative model, enabling the generation of plausible CFs with constrained modifications centred on the salient regions. We evaluate the effectiveness of our framework in diverse domains, including ADS, Atari Pong, Pacman and Space-invaders games, using traditional performance metrics such as validity, proximity and sparsity. Experimental results demonstrate that this framework generates more informative and plausible CFs than the state-of-the-art for a wide range of environments and DRL agents. In order to foster research in this area, we have made our datasets and codes publicly available&#x00A0;<uri>https://github.com/Amir-Samadi/SAFE-RL.</uri> IEEE","Acceptability and trust; computer vision for transportation; counterfactual explanation; Decision making; explainable automated driving system; Games; Generative adversarial networks; Generators; Gray-scale; reinforcement learning; Training; Visualization","Computer games; Computer vision; Decision making; Deep neural networks; Reinforcement learning; Safety engineering; Acceptability and trust; Automated driving systems; Computer vision for transportation; Counterfactual explanation; Counterfactuals; Decisions makings; Explainable automated driving system; Game; Generator; Gray scale; Reinforcement learnings; Generative adversarial networks","Institute of Electrical and Electronics Engineers Inc.","","","","","","23773766","","","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-85196078376"
"Liu Q.; Jiang H.; Pan Z.; Han Q.; Peng Z.; Li Q.","Liu, Qianyu (58558342400); Jiang, Haoran (58904183600); Pan, Zihao (58109766800); Han, Qiushi (58555754800); Peng, Zhenhui (57202799508); Li, Quan (57211753995)","58558342400; 58904183600; 58109766800; 58555754800; 57202799508; 57211753995","BiasEye: A Bias-Aware Real-time Interactive Material Screening System for Impartial Candidate Assessment","2024","ACM International Conference Proceeding Series","","","","325","343","18","0","10.1145/3640543.3645166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190954968&doi=10.1145%2f3640543.3645166&partnerID=40&md5=464229d1e199ddd76085afb8e3b18d04","In the process of evaluating competencies for job or student recruitment through material screening, decision-makers can be influenced by inherent cognitive biases, such as the screening order or anchoring information, leading to inconsistent outcomes. To tackle this challenge, we conducted interviews with seven experts to understand their challenges and needs for support in the screening process. Building on their insights, we introduce BiasEye, a bias-aware real-time interactive material screening visualization system. BiasEye enhances awareness of cognitive biases by improving information accessibility and transparency. It also aids users in identifying and mitigating biases through a machine learning (ML) approach that models individual screening preferences. Findings from a mixed-design user study with 20 participants demonstrate that, compared to a baseline system lacking our bias-aware features, BiasEye increases participants' bias awareness and boosts their confidence in making final decisions. At last, we discuss the potential of ML and visualization in mitigating biases during human decision-making tasks. © 2024 Owner/Author.","bias-aware design; inconsistent decision; material screening in holistic review; raise bias awareness","Decision making; User interfaces; Bias-aware design; Cognitive bias; Decision makers; Inconsistent decision; Material screening; Material screening in holistic review; Raise bias awareness; Real- time; Screening system; Student recruitment; Visualization","Association for Computing Machinery","ACM SIGAI; ACM SIGCHI; Adobe; Google; Michelin; National Science Foundation (NSF)","29th Annual Conference on Intelligent User Interfaces, IUI 2024","18 March 2024 through 21 March 2024","Greenville","198805","","979-840070508-3","","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85190954968"
