Authors,Title,Year,DOI,Link,Abstract,Keywords,Database,Item Type,Journal,ISSN,Volume,Issue,Pages,Publisher,Notes,Key,Title Points,Abstract Points,Keywords Points,title_normalized,Total Points
"Correll, Michael",Ethical dimensions of visualization research,2019,10.1145/3290605.3300418,https://doi.org/10.1145/3290605.3300418,"Visualizations have a potentially enormous influence on how data are used to make decisions across all areas of human endeavor. However, it is not clear how this power connects to ethical duties: what obligations do we have when it comes to visualizations and visual analytics systems, beyond our duties as scientists and engineers? Drawing on historical and contemporary examples, I address the moral components of the design and use of visualizations, identify some ongoing areas of visualization research with ethical dilemmas, and propose a set of additional moral obligations that we have as designers, builders, and researchers of visualizations.",ethics; information visualization; visual analytics,acm,conferencePaper,,,,,1–13,Association for Computing Machinery,,CTFF299M,15,30,25,ethical dimensions of visualization research,70
"Gotz, David; Sun, Shun; Cao, Nan; Kundu, Rita; Meyer, Anne-Marie",Adaptive contextualization methods for combating selection bias during high-dimensional visualization,2017,10.1145/3009973,https://doi.org/10.1145/3009973,"Large and high-dimensional real-world datasets are being gathered across a wide range of application disciplines to enable data-driven decision making. Interactive data visualization can play a critical role in allowing domain experts to select and analyze data from these large collections. However, there is a critical mismatch between the very large number of dimensions in complex real-world datasets and the much smaller number of dimensions that can be concurrently visualized using modern techniques. This gap in dimensionality can result in high levels of selection bias that go unnoticed by users. The bias can in turn threaten the very validity of any subsequent insights. This article describes Adaptive Contextualization (AC), a novel approach to interactive visual data selection that is specifically designed to combat the invisible introduction of selection bias. The AC approach (1) monitors and models a user’s visual data selection activity, (2) computes metrics over that model to quantify the amount of selection bias after each step, (3) visualizes the metric results, and (4) provides interactive tools that help users assess and avoid bias-related problems. This article expands on an earlier article presented at ACM IUI 2016 [16] by providing a more detailed review of the AC methodology and additional evaluation results.",exploratory analysis; intelligent visual interfaces; selection bias; visual analytics; Visualization,acm,journalArticle,ACM Trans. Interact. Intell. Syst.,2160-6455,7.0,4,,,,49D3GL4N,14,14,24,adaptive contextualization methods for combating selection bias during highdimensional visualization,52
"Wang, Zezhong; Hao, Shan; Carpendale, Sheelagh",Card-based approach to engage exploring ethics in AI for data visualization,2024,10.1145/3613905.3650972,https://doi.org/10.1145/3613905.3650972,"We present AI-VIS EthiCards, a card-based approach to explore ethics tailored for AI for visualization. The continuous integration of artificial intelligence and data visualization has brought about increased efficiency and benefits, yet inevitably raises ethical concerns. The emerging field of AI for visualization is marked by its inherent complexity, making it crucial for researchers, designers, and practitioners to cultivate ethical literacy and contemplate moral obligations within this intricate environment. These cards aim to aid users in learning, discussing, and reflecting on the ethical dilemmas that may arise from the integration of AI technology and visualization. The AI-VIS EthiCard set contains six themes: Goals, AI-VIS Tasks, Technologies, Ethical Principles, People-In-Focus, and Challenges, proposes various modes of use, including theoretical exploration, and design development simulations, with five activities. We aim to offer users an exploratory and open approach to discussions, providing multiple perspectives to guide ethical considerations when applying AI for visualization. The full set of cards is available at https://aivisethicards.github.io/.",Artificial intelligence; Card; Data visualization; Education; Ethics,acm,conferencePaper,,,,,,Association for Computing Machinery,,AQ7PAG9E,15,25,15,cardbased approach to engage exploring ethics in ai for data visualization,55
"Ooge, Jeroen; Verbert, Katrien",Explaining artificial intelligence with tailored interactive visualisations,2022,10.1145/3490100.3516481,https://doi.org/10.1145/3490100.3516481,"Artificial intelligence (AI) is becoming ubiquitous in the lives of both researchers and non-researchers, but AI models often lack transparency. To make well-informed and trustworthy decisions based on these models, people require explanations that indicate how to interpret the model outcomes. This paper presents our ongoing research in explainable AI, which investigates how visual analytics interfaces and visual explanations, tailored to the target audience and application domain, can make AI models more transparent and allow interactive steering based on domain expertise. First, we present our research questions and methods, contextualised by related work at the intersection of AI, human-computer interaction, and information visualisation. Then, we discuss our work so far in healthcare, agriculture, and education. Finally, we share our research ideas for additional studies in these domains.",algorithmic transparency; explainability; information visualisation; interpretability; XAI,acm,conferencePaper,,,,,120–123,Association for Computing Machinery,,F4JVID3K,10,26,14,explaining artificial intelligence with tailored interactive visualisations,50
D. Sacha; H. Senaratne; B. C. Kwon; G. Ellis; D. A. Keim,"The Role of Uncertainty, Awareness, and Trust in Visual Analytics",2016,10.1109/TVCG.2015.2467591,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7192716,"Visual analytics supports humans in generating knowledge from large and often complex datasets. Evidence is collected, collated and cross-linked with our existing knowledge. In the process, a myriad of analytical and visualisation techniques are employed to generate a visual representation of the data. These often introduce their own uncertainties, in addition to the ones inherent in the data, and these propagated and compounded uncertainties can result in impaired decision making. The user's confidence or trust in the results depends on the extent of user's awareness of the underlying uncertainties generated on the system side. This paper unpacks the uncertainties that propagate through visual analytics systems, illustrates how human's perceptual and cognitive biases influence the user's awareness of such uncertainties, and how this affects the user's trust building. The knowledge generation model for visual analytics is used to provide a terminology and framework to discuss the consequences of these aspects in knowledge construction and though examples, machine uncertainty is compared to human trust measures with provenance. Furthermore, guidelines for the design of uncertainty-aware systems are presented that can aid the user in better decision making.",Visual Analytics;Knowledge Generation;Uncertainty Measures and Propagation;Trust Building;Human Factors;Visual Analytics;Knowledge Generation;Uncertainty Measures and Propagation;Trust Building;Human Factors,ieee,IEEE Journals,,1941-0506,22,1.0,9.0,IEEE,,,13,27,13,the role of uncertainty awareness and trust in visual analytics,53
D. Borland; W. Wang; J. Zhang; J. Shrestha; D. Gotz,Selection Bias Tracking and Detailed Subset Comparison for High-Dimensional Data,2020,10.1109/TVCG.2019.2934209,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8807213,"The collection of large, complex datasets has become common across a wide variety of domains. Visual analytics tools increasingly play a key role in exploring and answering complex questions about these large datasets. However, many visualizations are not designed to concurrently visualize the large number of dimensions present in complex datasets (e.g. tens of thousands of distinct codes in an electronic health record system). This fact, combined with the ability of many visual analytics systems to enable rapid, ad-hoc specification of groups, or cohorts, of individuals based on a small subset of visualized dimensions, leads to the possibility of introducing selection bias–when the user creates a cohort based on a specified set of dimensions, differences across many other unseen dimensions may also be introduced. These unintended side effects may result in the cohort no longer being representative of the larger population intended to be studied, which can negatively affect the validity of subsequent analyses. We present techniques for selection bias tracking and visualization that can be incorporated into high-dimensional exploratory visual analytics systems, with a focus on medical data with existing data hierarchies. These techniques include: (1) tree-based cohort provenance and visualization, including a user-specified baseline cohort that all other cohorts are compared against, and visual encoding of cohort “drift”, which indicates where selection bias may have occurred, and (2) a set of visualizations, including a novel icicle-plot based visualization, to compare in detail the per-dimension differences between the baseline and a user-specified focus cohort. These techniques are integrated into a medical temporal event sequence visual analytics tool. We present example use cases and report findings from domain expert user interviews.",High-dimensional visualization;visual analytics;cohort selection;medical informatics;selection bias,ieee,IEEE Journals,,1941-0506,26,1.0,10.0,IEEE,,,4,24,24,selection bias tracking and detailed subset comparison for highdimensional data,52
J. Sänger; G. Pernul,Visualizing Transaction Context in Trust and Reputation Systems,2014,10.1109/ARES.2014.19,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980268,"Transaction context is an important aspect that should be taken into account for reputation-based trust assessment, because referrals are bound to the situation-specific context in which they were created. The non-consideration of transaction context may cause several threats such as the value imbalance problem. Exploiting this weakness, a seller can build high reputation by selling cheap products while cheating on the expensive ones. In the recent years, multiple approaches have been introduced that address this challenge. All of them chose metrics leading to numerical reputation values. These values, however, are non-transparent and quite hard to understand for the end-user. In this work, in contrast, we combine reputation assessment and visual analytics to provide an interactive visualization of multivariate reputation data. We thereby allow the user to analyze the data sets and draw conclusions by himself. In this way, we enhance transparency, involve the user in the evaluation process and as a consequence increase the users' trust in the reputation system.",trust;reputation;context;transaction context;context-awareness;visual analytics;visualization;parallel coordinates,ieee,IEEE Conferences,,,,,9.0,IEEE,,,10,26,22,visualizing transaction context in trust and reputation systems,58
B. C. Kwon; U. Kartoun; S. Khurshid; M. Yurochkin; S. Maity; D. G. Brockman; A. V. Khera; P. T. Ellinor; S. A. Lubitz; K. Ng,RMExplorer: A Visual Analytics Approach to Explore the Performance and the Fairness of Disease Risk Models on Population Subgroups,2022,10.1109/VIS54862.2022.00019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973226,"Disease risk models can identify high-risk patients and help clinicians provide more personalized care. However, risk models de-veloped on one dataset may not generalize across diverse subpop-ulations of patients in different datasets and may have unexpected performance. It is challenging for clinical researchers to inspect risk models across different subgroups without any tools. Therefore, we developed an interactive visualization system called RMExplorer (Risk Model Explorer) to enable interactive risk model assessment. Specifically, the system allows users to define subgroups of patients by selecting clinical, demographic, or other characteristics, to ex-plore the performance and fairness of risk models on the subgroups, and to understand the feature contributions to risk scores. To demonstrate the usefulness of the tool, we conduct a case study, where we use RMExplorer to explore three atrial fibrillation risk models by applying them to the UK Biobank dataset of 445,329 individuals. RMExplorer can help researchers to evaluate the performance and biases of risk models on subpopulations of interest in their data.",visual analytics;health informatics;fairness;subgroup analysis;explainability;interpretability;electronic health records;Human-centered computing;Visualization,ieee,IEEE Conferences,,2771-9553,,,4.0,IEEE,,,12,16,24,rmexplorer a visual analytics approach to explore the performance and the fairness of disease risk models on population subgroups,52
Á. A. Cabrera; W. Epperson; F. Hohman; M. Kahng; J. Morgenstern; D. H. Chau,FAIRVIS: Visual Analytics for Discovering Intersectional Bias in Machine Learning,2019,10.1109/VAST47406.2019.8986948,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8986948,"The growing capability and accessibility of machine learning has led to its application to many real-world domains and data about people. Despite the benefits algorithmic systems may bring, models can reflect, inject, or exacerbate implicit and explicit societal biases into their outputs, disadvantaging certain demographic subgroups. Discovering which biases a machine learning model has introduced is a great challenge, due to the numerous definitions of fairness and the large number of potentially impacted subgroups. We present FAIRVIS, a mixed-initiative visual analytics system that integrates a novel subgroup discovery technique for users to audit the fairness of machine learning models. Through FAIRVIS, users can apply domain knowledge to generate and investigate known subgroups, and explore suggested and similar subgroups. FAIRVIS's coordinated views enable users to explore a high-level overview of subgroup performance and subsequently drill down into detailed investigation of specific subgroups. We show how FAIRVIS helps to discover biases in two real datasets used in predicting income and recidivism. As a visual analytics system devoted to discovering bias in machine learning, FAIRVIS demonstrates how interactive visualization may help data scientists and the general public understand and create more equitable algorithmic systems.",Machine learning fairness;visual analytics;intersectional bias;subgroup discovery,ieee,IEEE Conferences,,,,,10.0,IEEE,,,14,26,16,fairvis visual analytics for discovering intersectional bias in machine learning,56
D. Ljubenkov,Ethical Artificial Intelligence in the European Union Context: Visualization for Policymaking and Decision Processes,2021,10.1109/CMI53512.2021.9663855,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9663855,"Based on its success with the standardized Global System for Mobile Communications (GSM) telephony in the 1990s and the General Data Protection Regulation (GDPR) in the 2010s, the European Union (EU) is putting a lot of effort in regulating Artificial Intelligence (AI) and its widespread usage. A term of ethical AI has emerged, and numerous national, European and global guidelines have recently been published, in the hope of creating a unified framework set to be used and implemented across EU and the globe.However, a highly convoluted nature of legislative procedures regarding emerging technologies makes it increasingly complicated to map out ethical AI properties and guidelines. Hence, a holistic and data-driven approach towards AI policy-making is proposed. In order to help EU policymakers and lawmakers, ethical AI principles of explainability and autonomy will be contextualized and visualized. Data contextualization is achieved using secondary datasets based on the systematic literature review, while data visualization is implemented in a form of a compact digital dashboard, using Python programming language and its associated visualization libraries.Goal of the suggested comprehensive solution is to simplify and streamline future decision processes regarding AI topics exclusively from policymakers’ perspective. This will indeed shape Europe’s digital future and foster trustworthy strategic leadership regarding AI technologies, which is likely to make EU lead by example and become a globally adopted practice.",Ethical Artificial Intelligence;European Union;Trustworthy Machine Learning;Explainability;Autonomy;Data Visualization,ieee,IEEE Conferences,,,,,5.0,IEEE,,,15,18,18,ethical artificial intelligence in the european union context visualization for policymaking and decision processes,51
